ax_s,ay_s,az_s,gx_s,gy_s,gz_s
0.0625,0.2031,0.0625,-15.625,9.7656,17.5781
0.1562,-0.2031,0.625,17.5781,8.7891,7.8125
0.2188,-0.2656,-0.125,22.4609,9.7656,0
-0.7969,-0.2344,-0.0312,-5.8594,27.3438,-8.7891
-1.2656,0,0.125,-16.6016,52.7344,-17.5781
-2,0.3125,-0.2188,-44.9219,77.1484,-27.3438
-2,1.625,-0.0625,-29.2969,51.7578,-22.4609
-1.1875,0.4375,-0.25,6.8359,35.1562,-17.5781
-1.4062,0,-0.4062,-0.9766,43.9453,-6.8359
-1.5312,0.2188,-0.6094,4.8828,34.1797,-8.7891
-1.375,0.125,-0.875,-11.7188,12.6953,-9.7656
-0.9531,0,-0.8281,-27.3438,2.9297,-7.8125
-0.75,0.0625,-0.6406,-28.3203,-13.6719,-9.7656
-0.5312,0.1094,-0.4688,-24.4141,-18.5547,-6.8359
-0.3125,0.1562,-0.2188,-8.7891,-13.6719,-0.9766
-0.1562,0.3438,0.0469,14.6484,-13.6719,0.9766
-0.0625,0.5312,0.0469,8.7891,-9.7656,4.8828
-0.1094,0.0938,0.0312,-1.9531,-2.9297,8.7891
0,-0.2188,0,0,-1.9531,4.8828
-0.2969,-0.2188,-0.375,17.5781,4.8828,-4.8828
-1.0781,0.2188,0.4219,32.2266,-4.8828,-15.625
-2,0.8125,0.0625,0,-0.9766,-13.6719
-2,0.5625,-0.3594,-73.2422,10.7422,4.8828
-1.3594,-0.25,-0.2969,-33.2031,-0.9766,-1.9531
-0.9531,0.7031,-0.8438,-51.7578,-27.3438,-9.7656
-1.9375,0.2656,-0.4062,-28.3203,-24.4141,-4.8828
-1.6406,0.0938,-0.7812,-13.6719,-41.9922,-7.8125
-1.5,-0.2969,-0.6406,-12.6953,-33.2031,-4.8828
-1.3281,-0.375,-0.5469,-23.4375,-19.5312,-4.8828
-0.7188,0.2656,-0.4219,-14.6484,-7.8125,-1.9531
-0.1875,0.3438,-0.2031,-19.5312,3.9062,5.8594
0,0.1875,-0.0312,-13.6719,14.6484,10.7422
-0.0938,0,0.7656,2.9297,18.5547,4.8828
0.3125,0,-0.2812,6.8359,21.4844,0
-0.5938,-0.0781,0.25,13.6719,25.3906,-6.8359
-1.0625,0.2188,0,-20.5078,56.6406,-16.6016
-1.9219,0.3594,-0.5312,-39.0625,69.3359,-20.5078
-2,1.4219,0.0312,-9.7656,46.875,-10.7422
-1.5781,0.1406,-0.4219,-0.9766,41.9922,-8.7891
-1.3438,0.375,-0.6875,10.7422,41.0156,-10.7422
-1.4844,0.2188,-0.4531,12.6953,22.4609,-14.6484
-1.2812,0.0938,-0.7344,-11.7188,16.6016,-13.6719
-0.8906,0.0625,-0.8906,-21.4844,12.6953,-11.7188
-0.4219,-0.0625,-0.7812,-24.4141,-6.8359,-14.6484
-0.2344,0.0625,-0.5,-12.6953,-16.6016,-3.9062
-0.1719,0.1719,-0.25,0,-17.5781,0.9766
-0.125,0.2969,0,6.8359,-14.6484,3.9062
-0.0781,0.25,0.0938,7.8125,-12.6953,4.8828
-0.1719,0.125,0.1875,4.8828,-16.6016,2.9297
-0.3125,0.1719,0.1562,9.7656,-13.6719,-0.9766
-0.7656,0.2812,0,27.3438,-19.5312,-11.7188
-1.1094,0.4844,0.3438,49.8047,-32.2266,-13.6719
-0.8594,0.5625,-0.7812,15.625,-25.3906,-2.9297
-0.7812,0.2969,-0.0938,-9.7656,1.9531,13.6719
-2,-0.375,-0.0469,-4.8828,-6.8359,14.6484
-1.9531,-0.1094,-0.7656,-46.875,0.9766,17.5781
