ax_s,ay_s,az_s,gx_s,gy_s,gz_s
-0.4688,0,-0.125,-45.8984,25.3906,-19.5312
-0.4531,0.1094,-0.1719,-45.8984,23.4375,-19.5312
-0.3125,0.2188,-0.1719,-44.9219,23.4375,-15.625
-0.0781,0.2031,-0.3438,-34.1797,16.6016,-8.7891
-0.2031,0.0312,-0.5625,-20.5078,0.9766,-2.9297
-0.5312,-0.0156,-0.9219,-13.6719,-5.8594,-1.9531
-0.8125,0,-1.1875,-10.7422,-2.9297,-1.9531
-0.9062,-0.0312,-1.2812,-8.7891,10.7422,-6.8359
-0.6719,0.0625,-1.0469,-0.9766,12.6953,-7.8125
-0.4375,0.0469,-0.8906,6.8359,1.9531,-6.8359
-0.3438,0.6562,-0.3594,12.6953,-18.5547,0
-1.7656,1.0781,-1.3281,3.9062,-5.8594,16.6016
-1.5,0,0.1562,17.5781,-11.7188,14.6484
-0.9844,0.2969,0,28.3203,-28.3203,1.9531
-0.9219,0,0.2344,38.0859,-32.2266,0.9766
-1.2031,-0.0938,-0.0625,28.3203,-41.0156,6.8359
0.3906,-1,-0.3906,1.9531,-1.9531,4.8828
0.5312,-0.8125,-0.375,-4.8828,-8.7891,5.8594
0.5312,-0.6562,-0.2656,-8.7891,-21.4844,4.8828
0.2969,-0.6406,-0.1406,-26.3672,-32.2266,1.9531
0.0781,-0.7344,-0.1094,-38.0859,-26.3672,-1.9531
0.1562,-1.1094,-0.1094,-47.8516,-4.8828,-5.8594
0.4375,-1.2656,0.4688,-35.1562,-17.5781,-12.6953
0.2969,-1.8594,-0.4688,-31.25,-10.7422,-19.5312
-0.0312,-1.6875,-0.625,-36.1328,-6.8359,-19.5312
0.2656,-1.4219,-0.3438,-42.9688,-9.7656,-12.6953
0.5,-1.3281,-0.5156,-43.9453,-27.3438,-8.7891
0.4219,-1.2188,-0.6562,-41.9922,-27.3438,-12.6953
0.2969,-0.9844,-0.5781,-26.3672,-31.25,-8.7891
0.2188,-0.6094,-0.625,-14.6484,-39.0625,-7.8125
0.0781,-0.6094,-0.6719,0,-34.1797,-5.8594
-0.0781,-0.4688,-0.6406,8.7891,-28.3203,-1.9531
-0.0625,-0.1094,-0.3438,16.6016,-27.3438,0
-0.0156,0.0312,-0.4531,17.5781,-20.5078,8.7891
0.0625,-0.0312,-0.25,15.625,-2.9297,11.7188
-0.125,-0.0781,-0.1094,12.6953,10.7422,7.8125
-0.0312,-0.2656,0,14.6484,13.6719,3.9062
0.2188,-0.875,-0.4844,-6.8359,5.8594,1.9531
0.3594,-0.5312,1.3906,4.8828,39.0625,-5.8594
-0.4219,-1.8594,-1.0312,4.8828,27.3438,-6.8359
0.1719,-2,0.0312,-0.9766,-25.3906,6.8359
1.0312,-1.0938,0.3594,15.625,-12.6953,2.9297
0.25,-1,-0.0312,19.5312,-9.7656,-2.9297
0.25,-1.4219,-1.0156,21.4844,-27.3438,-2.9297
0.1875,-1.4844,-0.8906,30.2734,-10.7422,-4.8828
0.3906,-1.4219,-0.6719,32.2266,-2.9297,-6.8359
0.5781,-1.1562,-0.7812,43.9453,-5.8594,-5.8594
0.6719,-1.1562,-0.5,38.0859,1.9531,-1.9531
0.5312,-1.0469,-0.7812,32.2266,-3.9062,-0.9766
-0.0938,-0.7031,-0.6719,20.5078,-0.9766,1.9531
0.0625,-0.3281,-0.3906,4.8828,-7.8125,7.8125
0.2656,-0.1719,0.0938,-3.9062,6.8359,3.9062
0.2344,0.0938,0.2031,-12.6953,15.625,-3.9062
0.25,0.2344,0.0781,-20.5078,-2.9297,-9.7656
0.3125,-0.4688,0.25,-28.3203,-33.2031,-14.6484
0.7812,-1.2344,-0.1562,-48.8281,-58.5938,-25.3906
0.6719,-2,-0.7031,-53.7109,-76.1719,-39.0625
-0.5781,-2,0.125,-41.9922,-30.2734,-26.3672
0,-0.6719,-0.3438,-36.1328,7.8125,-32.2266
0.4062,-1.1562,-0.4688,-29.2969,-2.9297,-16.6016
0.8125,-1.1562,-0.7031,-26.3672,-18.5547,-21.4844
0.875,-0.875,-0.9219,-7.8125,-41.0156,-11.7188
0.5312,-0.4844,-0.7031,6.8359,-65.4297,-5.8594
0.125,-0.2188,-0.4844,22.4609,-64.4531,-2.9297
-0.1406,-0.0312,-0.2188,29.2969,-45.8984,0.9766
-0.2344,-0.0156,0.1094,27.3438,-10.7422,6.8359
-0.2656,0.1094,0.5469,20.5078,1.9531,9.7656
-0.1875,-0.2812,0.7188,18.5547,-11.7188,9.7656
-0.125,-1.1094,0.4219,17.5781,-20.5078,0
-0.4688,-1.9844,-2,-14.6484,-53.7109,-4.8828
1.875,-1.3594,0.5781,0,5.8594,-16.6016
-0.375,-1.1562,-0.0156,0,-6.8359,-14.6484
0.0625,-1.0312,0.6562,5.8594,-57.6172,-2.9297
0.125,-1.375,-1.1406,37.1094,-40.0391,-11.7188
0.0625,-1.8594,-0.5781,38.0859,9.7656,-14.6484
0.3438,-1.9844,-1.5312,37.1094,14.6484,-7.8125
0.6562,-1.7344,-0.9219,32.2266,41.9922,-6.8359
1.4375,-0.8594,-0.3281,24.4141,31.25,-2.9297
0.8906,-0.375,-0.5,34.1797,-4.8828,-1.9531
-0.4062,-0.3125,-0.5781,19.5312,-5.8594,0
-0.375,-0.2344,0.1719,-0.9766,-18.5547,11.7188
-0.0312,0.2188,0.1875,-2.9297,-16.6016,14.6484
0.0469,-0.3438,0.3438,-19.5312,13.6719,1.9531
0.2344,-0.7812,-0.0781,-25.3906,-8.7891,-15.625
0.6875,-0.9219,0,-43.9453,-63.4766,-25.3906
0.4844,-2,-0.2656,-51.7578,-102.5391,-34.1797
-0.4688,-2,-0.6719,-51.7578,-31.25,-12.6953
0.5469,-1.3438,-0.3906,-51.7578,22.4609,-16.6016
0.6406,-1.3906,-0.5781,-39.0625,7.8125,-16.6016
0.625,-1.125,-0.5312,-24.4141,-0.9766,-25.3906
0.7812,-0.7656,-0.6094,1.9531,-32.2266,-21.4844
0.2344,-0.2969,-0.2812,10.7422,-59.5703,-15.625
0.0625,0.0469,-0.375,15.625,-62.5,-3.9062
-0.0781,0.125,-0.0781,12.6953,-24.4141,12.6953
-0.625,0,0.375,11.7188,13.6719,16.6016
-1.0312,-0.25,0.2188,13.6719,29.2969,6.8359
-0.7188,0.0156,0.3594,4.8828,26.3672,4.8828
-0.4375,-0.1406,-0.1562,-2.9297,-3.9062,10.7422
1.2969,-2,-1.3906,-43.9453,-9.7656,18.5547
0.9375,-2,0.875,-20.5078,64.4531,-27.3438
-0.4531,-2,-0.0156,3.9062,-25.3906,-0.9766
1.2344,-0.4688,0.0938,6.8359,-88.8672,13.6719
0.0312,-0.8594,-0.875,22.4609,-18.5547,-14.6484
-0.2188,-2,-0.5,29.2969,-2.9297,-2.9297
0.375,-1.3594,-1.1094,34.1797,10.7422,-7.8125
0.7969,-1.4219,-1.0156,51.7578,35.1562,-10.7422
1.3281,-1.375,-0.6094,35.1562,21.4844,-2.9297
0.75,-0.8906,-1.0938,32.2266,10.7422,-5.8594
0.2188,-0.5625,-0.5,19.5312,2.9297,0.9766
0.1094,-0.1406,-0.2344,6.8359,-25.3906,6.8359
0.125,0.0469,-0.1094,-1.9531,-1.9531,1.9531
-0.0938,0.0938,0.4062,-12.6953,5.8594,-6.8359
0.1094,-0.0625,0.1094,-14.6484,-17.5781,-11.7188
0.2188,-0.7031,0.0938,-29.2969,-36.1328,-19.5312
0.5312,-1.3125,-0.2031,-47.8516,-63.4766,-25.3906
0.2656,-2,-0.5156,-49.8047,-82.0312,-31.25
-0.4531,-1.9531,-0.2969,-40.0391,5.8594,-25.3906
0.25,-0.7344,-0.4844,-32.2266,2.9297,-20.5078
0.7969,-1.1719,-0.5938,-27.3438,-10.7422,-17.5781
0.9688,-1.0938,-0.7969,-9.7656,-25.3906,-11.7188
0.7812,-0.9375,-0.9062,3.9062,-55.6641,-5.8594
0.1719,-0.7031,-0.9219,13.6719,-59.5703,-2.9297
-0.3125,-0.6094,-0.5156,14.6484,-51.7578,-0.9766
-0.3438,-0.2812,-0.2812,12.6953,-20.5078,1.9531
-0.6406,-0.1875,0.0938,0,22.4609,11.7188
-0.7344,0.0625,0.625,0,44.9219,8.7891
-0.3438,0.1562,0.8281,9.7656,46.875,9.7656
0.0312,-0.375,0,7.8125,32.2266,6.8359
0.7188,-1.1094,0.0156,-26.3672,28.3203,-1.9531
0.5625,-1.5781,-0.2188,5.8594,71.2891,-4.8828
0.3125,-2,0.2656,-7.8125,35.1562,6.8359
0.4844,-1.0156,0.1719,24.4141,-41.0156,17.5781
0.625,-1.3281,-0.8125,34.1797,-60.5469,16.6016
0.1406,-1.7969,-1.4219,45.8984,15.625,-11.7188
0.875,-1.8125,-0.5625,54.6875,36.1328,-8.7891
0.9844,-1.4062,-0.7969,53.7109,15.625,0.9766
0.9688,-1.2656,-0.2188,27.3438,-2.9297,4.8828
0.375,-0.8906,-0.6094,25.3906,9.7656,2.9297
-0.1406,-0.2812,-0.7344,7.8125,-23.4375,7.8125
-0.0312,-0.0156,0.2344,-4.8828,-23.4375,7.8125
0.1719,0.0312,-0.2969,-19.5312,9.7656,-0.9766
0.2969,0.125,-0.0625,-21.4844,-4.8828,-7.8125
0.2969,-0.1875,-0.0625,-28.3203,-25.3906,-14.6484
0.0938,-0.4062,0.2812,-37.1094,-34.1797,-17.5781
0.5156,-1.2656,0.1094,-65.4297,-79.1016,-16.6016
0.3281,-2,-0.7812,-55.6641,-93.75,-31.25
-0.4375,-2,-0.2188,-36.1328,9.7656,-20.5078
0.1094,-0.8125,-0.5938,-36.1328,-5.8594,-16.6016
0.2969,-0.8594,-0.6406,-18.5547,-3.9062,-13.6719
0.6875,-1.0312,-1.0312,-4.8828,-23.4375,-2.9297
0.6875,-0.7656,-1.1875,7.8125,-31.25,0
0.2969,-0.5156,-0.875,17.5781,-35.1562,4.8828
0.0156,-0.3281,-0.4688,14.6484,-26.3672,12.6953
-0.3125,-0.4062,0.0312,5.8594,-5.8594,15.625
-0.4375,-0.1719,0.3906,0,16.6016,9.7656
-0.5312,0.1719,0.5625,0.9766,28.3203,4.8828
-0.1719,0.3125,0.5,12.6953,37.1094,3.9062
0.1562,-0.3125,-0.0312,11.7188,49.8047,1.9531
-0.0312,-1.1094,-0.7969,5.8594,50.7812,-1.9531
0.6562,-2,-0.1719,11.7188,54.6875,-2.9297
1.9375,-1.625,0.2812,5.8594,5.8594,7.8125
0.375,-0.7656,0.25,17.5781,-15.625,0
0.1094,-1.2969,-0.8594,41.0156,-40.0391,0
-0.1094,-1.8125,-1.2656,45.8984,-7.8125,2.9297
0.6875,-1.5938,-0.6875,46.875,6.8359,4.8828
0.9688,-1.5625,-0.3906,45.8984,18.5547,4.8828
1.25,-1.2812,-0.8125,41.0156,-0.9766,3.9062
0.6406,-0.8594,-0.5,15.625,29.2969,0
-0.4062,-0.25,-0.6875,14.6484,-0.9766,4.8828
