ax_s,ay_s,az_s,gx_s,gy_s,gz_s,A_s,G_s
-0.875,-0.1875,0.6875,-21.4844,-4.8828,13.6719,1.1285,25.9295
-0.8281,0.2188,0.3906,-9.7656,-7.8125,16.6016,0.9414,20.785
-0.7969,0.3438,0.2188,-2.9297,0.0,21.4844,0.895,21.6832
-0.75,0.2812,0.25,-22.4609,6.8359,22.4609,0.8391,32.4918
-0.7656,0.2031,0.5625,-34.1797,8.7891,23.4375,0.9715,42.3653
-0.6562,0.0156,0.7656,-31.25,4.8828,20.5078,1.0085,37.6958
-0.6094,0.0625,0.8281,-29.2969,-1.9531,21.4844,1.0301,36.3827
-0.6406,0.0938,0.7031,-30.2734,-2.9297,22.4609,0.9558,37.8095
-0.7031,0.0781,0.5938,-38.0859,-2.9297,23.4375,0.9236,44.8156
-0.7188,0.1094,0.5156,-44.9219,-3.9062,24.4141,0.8913,51.2765
-0.6875,0.2812,0.6406,-39.0625,-19.5312,24.4141,0.9809,50.0339
-0.6875,0.4062,0.8125,-20.5078,-25.3906,23.4375,1.1392,40.1817
-0.625,0.4844,0.9531,-11.7188,-21.4844,23.4375,1.2384,33.8855
-0.5,0.3438,0.875,-15.625,-13.6719,20.5078,1.0648,29.1827
-0.6875,0.4688,0.6562,-30.2734,-15.625,25.3906,1.0597,42.4889
-0.7188,0.7656,0.5469,-11.7188,-5.8594,32.2266,1.184,34.7881
-0.3906,0.2188,0.7969,-16.6016,-4.8828,23.4375,0.914,29.1337
-0.4219,0.0156,0.7812,-24.4141,-10.7422,21.4844,0.888,34.2494
-0.1875,0.2812,0.8281,-31.25,-18.5547,19.5312,0.8945,41.259
-0.2969,0.4844,0.6719,-27.3438,2.9297,12.6953,0.8799,30.2892
0.0625,1.0469,0.9062,0.9766,-7.8125,19.5312,1.3861,21.0585
0.0938,0.6406,0.4688,9.7656,-38.0859,18.5547,0.7993,43.4762
0.0,0.375,0.8125,7.8125,-37.1094,15.625,0.8949,41.0156
-0.8125,0.1562,1.7812,10.7422,-46.875,16.6016,1.964,50.8751
0.0,0.1875,1.1562,11.7188,-44.9219,20.5078,1.1714,50.7531
-0.0312,0.2344,1.1406,6.8359,-35.1562,16.6016,1.1649,39.4754
-0.2188,0.2812,0.7812,4.8828,-28.3203,15.625,0.8587,32.7112
0.0938,0.4531,0.8438,0.0,-28.3203,22.4609,0.9623,36.146
