ax_s,ay_s,az_s,gx_s,gy_s,gz_s,A_s,G_s
0.9844,-0.0625,0.2188,0.0,0.0,0.0,1.0103,0.0
1.0,-0.0469,0.2031,0.0,0.0,0.0,1.0215,0.0
1.0,-0.0469,0.2031,0.0,0.0,0.0,1.0215,0.0
1.0,-0.0469,0.2188,0.0,0.0,0.0,1.0247,0.0
1.0,-0.0469,0.2188,0.0,0.0,0.0,1.0247,0.0
0.9844,-0.0469,0.2031,0.0,0.0,0.0,1.0062,0.0
0.9844,-0.0625,0.2031,0.0,0.0,0.0,1.0071,0.0
0.9688,-0.0781,0.2031,0.0,0.0,0.0,0.9929,0.0
0.9844,-0.0625,0.1875,-0.9766,-0.9766,0.0,1.004,1.3811
0.9844,-0.0469,0.2031,-0.9766,-0.9766,0.0,1.0062,1.3811
0.9688,-0.0625,0.2031,-1.9531,0.0,0.0,0.9918,1.9531
0.9688,-0.0469,0.2031,-1.9531,-0.9766,0.0,0.9909,2.1837
0.9844,-0.0469,0.2031,-0.9766,-0.9766,0.0,1.0062,1.3811
0.9844,-0.0469,0.2188,-0.9766,0.0,0.0,1.0095,0.9766
0.9844,-0.0469,0.2188,0.0,0.0,0.0,1.0095,0.0
0.9688,-0.0469,0.2031,0.0,0.0,0.0,0.9909,0.0
0.9688,-0.0312,0.1719,0.0,0.0,0.0,0.9844,0.0
0.9688,0.375,0.8906,-27.3438,10.7422,2.9297,1.3683,29.5239
0.9375,0.4688,0.8594,-43.9453,17.5781,1.9531,1.3554,47.3708
0.8125,0.4219,0.7812,-74.2188,35.1562,-5.8594,1.2035,82.333
0.8125,0.125,0.5312,-75.1953,30.2734,-11.7188,0.9788,81.9033
0.9219,-0.1875,0.1562,-42.9688,23.4375,-10.7422,0.9536,50.1101
1.0156,-0.5469,-0.2656,-26.3672,10.7422,-9.7656,1.1837,30.0997
0.9062,-0.2344,0.3438,-54.6875,-7.8125,-12.6953,0.9972,56.6827
0.9219,-0.1719,0.6719,-52.7344,-7.8125,-10.7422,1.1536,54.3815
0.9219,-0.0625,0.5938,-37.1094,-4.8828,-8.7891,1.0983,38.4473
0.9688,-0.1094,0.2969,-21.4844,-1.9531,-5.8594,1.0191,22.3545
1.0625,-0.1406,0.1094,-21.4844,-7.8125,-7.8125,1.0773,24.1588
1.0156,-0.0938,0.2031,-25.3906,-12.6953,-7.8125,1.04,29.443
1.0,-0.2031,0.3125,-16.6016,-13.6719,-5.8594,1.0672,22.2905
1.0,-0.3125,0.2656,-10.7422,-13.6719,-1.9531,1.0808,17.4966
1.0,-0.375,0.1719,-15.625,-14.6484,0.0,1.0817,21.4177
1.0469,-0.2812,0.0469,-12.6953,-14.6484,3.9062,1.085,19.7739
1.0938,-0.1875,-0.0781,-7.8125,-16.6016,7.8125,1.1125,19.942
1.2031,-0.1094,-0.1719,-10.7422,-17.5781,8.7891,1.2203,22.3972
1.2656,-0.1094,-0.1562,-12.6953,-17.5781,8.7891,1.2799,23.3968
1.1719,-0.0469,-0.0312,-12.6953,-21.4844,8.7891,1.1732,26.4575
1.0469,-0.0469,0.0938,-10.7422,-23.4375,8.7891,1.0521,27.2389
0.9219,0.0312,0.0938,-2.9297,-24.4141,9.7656,0.9272,26.4575
0.875,0.125,0.0625,-0.9766,-24.4141,9.7656,0.8861,26.3129
0.9219,0.0,-0.125,-1.9531,-20.5078,11.7188,0.9303,23.7005
1.0781,-0.0156,-0.2969,-6.8359,-20.5078,13.6719,1.1184,25.5777
1.0781,0.1562,-0.2969,-11.7188,-22.4609,13.6719,1.1291,28.7879
0.9531,0.0625,-0.3438,-11.7188,-22.4609,13.6719,1.0151,28.7879
1.0312,-0.2188,-0.5,-14.6484,-19.5312,9.7656,1.1668,26.2948
1.0781,-0.5156,-0.6562,-17.5781,-18.5547,8.7891,1.3634,27.028
0.9688,-0.8125,-0.7188,-8.7891,-18.5547,8.7891,1.4544,22.3332
0.8281,-0.875,-0.5625,-3.9062,-21.4844,8.7891,1.3296,23.539
0.75,-0.7344,-0.3594,-10.7422,-24.4141,7.8125,1.1095,27.7935
0.625,-0.5938,-0.2188,-16.6016,-22.4609,5.8594,0.8894,28.5384
0.4531,-0.6094,-0.2031,-24.4141,-15.625,4.8828,0.7861,29.3944
0.4688,-0.4844,-0.2812,-33.2031,-14.6484,2.9297,0.7304,36.4089
0.4375,-0.4219,-0.2969,-33.2031,-14.6484,1.9531,0.6764,36.3433
0.375,-0.4375,-0.3281,-34.1797,-14.6484,0.0,0.6631,37.1864
0.3281,-0.3906,-0.2812,-38.0859,-16.6016,0.0,0.5825,41.547
0.2812,-0.4062,-0.2656,-40.0391,-16.6016,-1.9531,0.561,43.3884
0.1562,-0.4688,-0.2969,-45.8984,-11.7188,-3.9062,0.5764,47.5316
0.0469,-0.4375,-0.375,-55.6641,-6.8359,-7.8125,0.5781,56.6238
0.0469,-0.2188,-0.4844,-62.5,-3.9062,-12.6953,0.5335,63.8959
0.0312,-0.1094,-0.5312,-63.4766,-1.9531,-16.6016,0.5433,65.6407
0.0156,0.0781,-0.5312,-61.5234,-2.9297,-16.6016,0.5372,63.7913
0.0781,0.3438,-0.5469,-61.5234,-3.9062,-15.625,0.6506,63.5966
0.1719,0.5781,-0.6406,-60.5469,-0.9766,-14.6484,0.8799,62.3013
0.25,0.75,-0.7188,-54.6875,1.9531,-15.625,1.0685,56.9094
0.2344,0.9062,-0.7656,-45.8984,5.8594,-13.6719,1.2093,48.2485
0.3281,1.2031,-0.7969,-33.2031,7.8125,-10.7422,1.4799,35.7614
0.4375,1.5,-0.9219,-21.4844,6.8359,-11.7188,1.8142,25.4094
0.25,1.4375,-0.8906,-27.3438,-2.9297,-20.5078,1.7094,34.305
-0.0312,1.0312,-0.6094,-37.1094,-9.7656,-31.25,1.1982,49.4877
-0.0156,0.9531,-0.3281,-40.0391,-5.8594,-29.2969,1.0081,49.9576
-0.1094,1.0781,-0.2188,-33.2031,1.9531,-19.5312,1.1055,38.5711
-0.0156,1.1094,-0.1562,-10.7422,12.6953,-10.7422,1.1204,19.798
0.1094,1.0781,0.0781,-7.8125,7.8125,-3.9062,1.0865,11.7188
0.0469,1.2969,0.1562,-23.4375,-6.8359,-7.8125,1.3071,25.6336
0.1562,1.5156,0.0625,-36.1328,-4.8828,-11.7188,1.5249,38.2982
0.2031,1.1562,0.125,-58.5938,3.9062,-22.4609,1.1806,62.8727
0.1094,0.8281,0.25,-79.1016,19.5312,-27.3438,0.8719,85.943
0.0,0.8125,0.2969,-87.8906,25.3906,-34.1797,0.865,97.6611
-0.125,0.7656,0.4531,-82.0312,24.4141,-33.2031,0.8984,91.8021
-0.1719,0.625,0.4375,-75.1953,25.3906,-30.2734,0.782,84.9441
-0.2344,0.6094,0.4688,-71.2891,20.5078,-26.3672,0.8037,78.7269
-0.1719,0.2969,0.4844,-70.3125,16.6016,-22.4609,0.5935,75.6568
-0.0625,0.4062,0.625,-54.6875,10.7422,-15.625,0.748,57.8814
-0.1719,0.5156,0.6562,-31.25,19.5312,-12.6953,0.8521,38.977
-0.2969,0.5625,0.7188,-11.7188,8.7891,-8.7891,0.9598,17.0829
-0.2188,0.75,1.0625,-11.7188,-2.9297,-5.8594,1.3188,13.4255
-0.3906,0.7812,1.1406,-13.6719,-2.9297,-4.8828,1.4367,14.8103
-0.375,0.7969,1.0781,-16.6016,-1.9531,-4.8828,1.3921,17.4146
-0.3594,0.6875,1.1562,-23.4375,-2.9297,-4.8828,1.3924,24.1193
