ax_s,ay_s,az_s,gx_s,gy_s,gz_s
0.2188,0.0938,-1.0625,0.9766,-5.8594,-1.9531
0.1562,0,-0.9531,2.9297,-10.7422,-0.9766
0.2031,0,-0.9844,1.9531,-6.8359,-1.9531
0.1719,0.0312,-0.9375,0,-10.7422,-3.9062
0.1406,0.0625,-0.9375,1.9531,-10.7422,-2.9297
0.125,0.0156,-0.8906,0.9766,-11.7188,-0.9766
0.0625,0.0156,-0.9375,0,-15.625,-0.9766
0.0469,0,-0.9844,0,-23.4375,0
0.1094,0.0469,-1.0312,0,0,0
0.0156,0.0312,-0.9844,0,0,0
0.0156,0.0156,-0.9688,0,0,0
0.0156,0.0156,-0.9688,0,0,0
0.0156,0.0312,-0.9688,0,0,-0.9766
0.0156,0.0312,-0.9688,0,0,0
0.0156,0.0312,-0.9688,0,0,0
0.0156,0.0156,-0.9688,0,0,0
0,0.0312,-0.9688,0,0,0
0.0469,0.0625,-0.9688,0,0,0
0.0312,0.0625,-0.9531,0,0,0
0.0469,0.0625,-0.9688,0,0,0
0.0469,0.0625,-0.9688,0,0,0
0.0469,0.0625,-0.9688,0,0,0
0.0312,0.0625,-0.9688,0,0,0
0.0469,0.0625,-0.9688,0,0,0
0.0312,0.0625,-0.9531,0,0,0
0.0312,0.0625,-0.9688,0,0,0
0.0469,0.0625,-0.9688,0,0,0
0.0312,0.0625,-0.9844,0,0,0
0.0312,0.0625,-0.9844,0,0,0
0.0312,0.0625,-0.9688,0,0,0
0.0156,0.0625,-0.9688,0,0,0
0.0156,0.0469,-0.9688,0,0,0
0.0469,0.0625,-0.9688,0,0,0
0.0469,0.0625,-0.9531,0,0,0
0.0312,0.0625,-0.9688,0,0,0
0.0469,0.0625,-0.9531,0,0,0
0.0469,0.0625,-0.9688,0,0,0
0.0469,0.0625,-0.9688,0,0,0
0.0469,0.0625,-0.9688,0,0,0
0.0312,0.0625,-0.9688,0,0,0
0.0312,0.0625,-0.9688,0,0,0
