ax_s,ay_s,az_s,gx_s,gy_s,gz_s,A_s,G_s
0.0,0.0156,-0.9688,0.0,0.0,0.0,0.9689,0.0
0.0,0.0156,-0.9688,0.0,0.0,0.0,0.9689,0.0
-0.0156,0.0,-0.9688,0.0,0.0,0.0,0.9689,0.0
0.0,0.0156,-0.9844,0.0,0.0,0.0,0.9845,0.0
0.0,0.0156,-0.9688,0.0,0.0,0.0,0.9689,0.0
0.0,0.0156,-0.9844,0.0,0.0,0.0,0.9845,0.0
0.0,0.0156,-0.9688,0.0,0.0,0.0,0.9689,0.0
0.0,0.0156,-0.9688,0.0,0.0,0.0,0.9689,0.0
0.0,0.0156,-0.9688,0.0,0.0,0.0,0.9689,0.0
-0.0156,0.0156,-0.9688,0.0,0.0,0.0,0.969,0.0
0.0,0.0156,-0.9688,0.0,0.0,0.0,0.9689,0.0
0.0,0.0156,-0.9688,0.0,0.0,0.0,0.9689,0.0
0.0,0.0156,-0.9844,0.0,0.0,0.0,0.9845,0.0
0.0,0.0156,-0.9688,0.0,0.0,0.0,0.9689,0.0
0.0,0.0,-0.9688,0.0,0.0,0.0,0.9688,0.0
0.0,0.0156,-0.9844,0.0,0.0,0.0,0.9845,0.0
0.0,0.0,-0.9844,0.0,0.0,0.0,0.9844,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0156,0.1406,-0.9375,0.0,0.0,0.0,0.9481,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0312,0.1406,-0.9531,0.0,0.0,0.0,0.9639,0.0
0.0,0.1562,-0.9531,0.0,0.0,0.0,0.9658,0.0
0.0,0.1562,-0.9688,0.0,0.0,0.0,0.9813,0.0
-0.0156,0.1562,-0.9688,0.0,0.0,0.0,0.9814,0.0
0.0,0.1406,-0.9531,0.0,0.0,0.0,0.9634,0.0
0.0,0.1562,-0.9688,0.0,0.0,0.0,0.9813,0.0
-0.0156,0.1562,-0.9688,0.0,-0.9766,0.0,0.9814,0.9766
-0.0312,0.1562,-0.9688,0.0,0.0,0.0,0.9818,0.0
-0.0469,0.1719,-0.9531,0.0,0.0,0.0,0.9696,0.0
-0.0156,0.1719,-0.9531,0.0,0.0,0.0,0.9686,0.0
-0.0156,0.1719,-0.9375,0.0,0.0,0.0,0.9533,0.0
-0.0312,0.1719,-0.9531,0.0,0.0,0.0,0.969,0.0
-0.0312,0.1719,-0.9688,0.0,0.0,0.0,0.9844,0.0
-0.0156,0.1719,-0.9375,0.0,0.0,0.0,0.9533,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0156,0.1406,-0.9688,0.0,0.0,0.0,0.979,0.0
-0.0156,0.1406,-0.9688,-0.9766,0.0,0.0,0.979,0.9766
-0.0156,0.1406,-0.9688,0.0,0.0,0.0,0.979,0.0
-0.0312,0.125,-0.9688,0.0,0.0,0.0,0.9773,0.0
-0.0312,0.1406,-0.9688,0.0,0.0,0.0,0.9794,0.0
-0.0312,0.1406,-0.9688,0.0,0.0,0.0,0.9794,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0312,0.1719,-0.9531,0.0,0.0,0.0,0.969,0.0
-0.0312,0.1719,-0.9531,0.0,0.0,0.0,0.969,0.0
-0.0156,0.1719,-0.9531,0.0,0.0,0.0,0.9686,0.0
-0.0156,0.1719,-0.9688,0.0,0.0,0.0,0.984,0.0
-0.0312,0.1719,-0.9531,0.0,0.0,0.0,0.969,0.0
-0.0156,0.1719,-0.9375,0.0,0.0,0.0,0.9533,0.0
-0.0312,0.1719,-0.9531,0.0,0.0,0.0,0.969,0.0
-0.0156,0.1719,-0.9688,0.0,0.0,0.0,0.984,0.0
-0.0156,0.1719,-0.9688,0.0,0.0,0.0,0.984,0.0
-0.0312,0.1719,-0.9688,0.0,0.0,0.0,0.9844,0.0
-0.0156,0.1719,-0.9688,0.0,0.0,0.0,0.984,0.0
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0312,0.1562,-0.9688,0.0,0.0,0.0,0.9818,0.0
-0.0312,0.1562,-0.9688,0.0,0.0,0.0,0.9818,0.0
-0.0312,0.125,-0.9688,0.0,0.0,0.0,0.9773,0.0
-0.0312,0.1406,-0.9688,0.0,0.0,0.0,0.9794,0.0
-0.0312,0.1406,-0.9375,0.9766,0.0,0.0,0.9485,0.9766
-0.0156,0.1406,-0.9531,0.0,0.0,0.0,0.9636,0.0
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0156,0.1406,-0.9531,0.0,0.0,0.0,0.9636,0.0
-0.0156,0.1562,-0.9688,0.0,0.0,0.0,0.9814,0.0
-0.0312,0.1719,-0.9531,0.0,0.0,0.0,0.969,0.0
-0.0156,0.1719,-0.9375,0.0,0.0,0.0,0.9533,0.0
-0.0156,0.1719,-0.9531,0.0,0.0,0.0,0.9686,0.0
-0.0156,0.1562,-0.9688,0.0,0.0,0.0,0.9814,0.0
-0.0312,0.1406,-0.9531,0.0,0.0,0.0,0.9639,0.0
-0.0312,0.1406,-0.9531,0.0,0.0,0.9766,0.9639,0.9766
-0.0156,0.1719,-0.9375,0.0,0.0,0.9766,0.9533,0.9766
-0.0156,0.1875,-0.9531,0.0,0.0,0.9766,0.9715,0.9766
-0.0469,0.2031,-0.9688,0.0,0.0,0.9766,0.9909,0.9766
-0.0469,0.1875,-0.9688,0.0,0.0,0.9766,0.9878,0.9766
-0.0312,0.1875,-0.9531,-0.9766,0.0,0.9766,0.9719,1.3811
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0312,0.1406,-0.9688,0.0,0.0,0.0,0.9794,0.0
-0.0312,0.1406,-0.9531,0.0,0.0,0.0,0.9639,0.0
-0.0312,0.1406,-0.9688,0.0,0.0,0.0,0.9794,0.0
-0.0312,0.1562,-0.9531,0.9766,0.0,0.0,0.9664,0.9766
-0.0312,0.1406,-0.9531,0.0,0.0,0.0,0.9639,0.0
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0156,0.1406,-0.9531,0.0,0.0,0.0,0.9636,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0312,0.1719,-0.9531,0.0,0.0,0.0,0.969,0.0
-0.0156,0.1562,-0.9688,0.0,0.0,0.0,0.9814,0.0
-0.0312,0.1562,-0.9688,0.0,0.0,0.0,0.9818,0.0
-0.0312,0.1562,-0.9688,0.0,0.0,0.0,0.9818,0.0
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0312,0.1562,-0.9688,0.0,0.0,0.0,0.9818,0.0
-0.0312,0.1562,-0.9688,0.0,0.0,0.0,0.9818,0.0
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0156,0.1406,-0.9688,0.0,0.0,0.0,0.979,0.0
-0.0312,0.1562,-0.9688,0.0,0.0,0.0,0.9818,0.0
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0312,0.1719,-0.9375,0.0,0.0,0.0,0.9536,0.0
-0.0469,0.1562,-0.9688,0.0,0.0,0.0,0.9824,0.0
-0.0312,0.1562,-0.9688,0.0,0.0,0.0,0.9818,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0312,0.1406,-0.9531,0.0,0.0,0.0,0.9639,0.0
-0.0469,0.1406,-0.9688,0.0,0.0,0.0,0.98,0.0
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0156,0.1406,-0.9531,0.0,0.0,0.0,0.9636,0.0
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0156,0.1406,-0.9688,0.0,0.0,0.0,0.979,0.0
-0.0156,0.125,-0.9531,0.0,0.0,0.0,0.9614,0.0
-0.0312,0.1406,-0.9531,0.0,0.0,0.0,0.9639,0.0
-0.0312,0.1406,-0.9531,0.0,0.0,0.0,0.9639,0.0
-0.0312,0.1562,-0.9688,0.0,0.0,0.0,0.9818,0.0
-0.0156,0.1562,-0.9688,0.0,0.0,0.0,0.9814,0.0
-0.0156,0.1406,-0.9688,0.0,0.0,0.0,0.979,0.0
-0.0156,0.1406,-0.9688,0.0,0.0,0.0,0.979,0.0
-0.0156,0.1406,-0.9531,0.0,0.0,0.0,0.9636,0.0
-0.0156,0.1406,-0.9531,0.0,0.0,0.0,0.9636,0.0
-0.0156,0.1406,-0.9688,0.0,0.0,0.0,0.979,0.0
-0.0156,0.1406,-0.9531,0.0,0.0,0.0,0.9636,0.0
-0.0312,0.1406,-0.9688,0.0,0.0,0.0,0.9794,0.0
-0.0312,0.1406,-0.9531,0.0,0.0,0.0,0.9639,0.0
-0.0312,0.1406,-0.9531,0.0,0.0,0.0,0.9639,0.0
-0.0312,0.1406,-0.9688,0.0,0.0,0.0,0.9794,0.0
-0.0312,0.1562,-0.9688,0.0,0.0,0.0,0.9818,0.0
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0312,0.1562,-0.9688,0.0,0.0,0.0,0.9818,0.0
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0312,0.1406,-0.9531,0.0,0.0,0.0,0.9639,0.0
-0.0312,0.1406,-0.9688,0.0,0.0,0.0,0.9794,0.0
-0.0312,0.1562,-0.9688,-0.9766,0.9766,0.0,0.9818,1.3811
-0.0312,0.1562,-0.9375,-0.9766,0.9766,0.0,0.9509,1.3811
-0.0156,0.1406,-1.0,0.0,0.0,0.0,1.01,0.0
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0312,0.1562,-0.9688,0.0,0.9766,0.0,0.9818,0.9766
-0.0156,0.1562,-0.9531,0.0,0.9766,0.0,0.966,0.9766
0.0,0.1406,-0.9531,0.0,0.0,0.0,0.9634,0.0
0.0,0.1562,-0.9531,0.0,0.0,0.0,0.9658,0.0
-0.0156,0.1562,-0.9375,0.0,0.0,0.0,0.9506,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0156,0.1562,-0.9688,0.0,0.0,0.0,0.9814,0.0
-0.0156,0.1562,-0.9688,0.0,0.0,0.0,0.9814,0.0
0.0,0.1562,-0.9531,0.0,0.0,0.0,0.9658,0.0
0.0,0.1562,-0.9531,0.0,0.0,0.0,0.9658,0.0
0.0,0.1562,-0.9531,0.0,0.0,0.0,0.9658,0.0
-0.0312,0.1406,-0.9844,0.0,0.0,0.0,0.9949,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0156,0.1562,-0.9688,0.0,0.0,0.0,0.9814,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0156,0.1406,-0.9531,0.0,0.0,0.0,0.9636,0.0
-0.0156,0.1406,-0.9531,0.0,0.0,0.0,0.9636,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0156,0.1406,-0.9531,0.0,0.0,0.0,0.9636,0.0
0.0,0.1562,-0.9531,0.0,0.0,0.0,0.9658,0.0
0.0,0.1562,-0.9688,0.0,0.0,0.0,0.9813,0.0
0.0,0.1562,-0.9531,0.0,0.0,0.0,0.9658,0.0
-0.0156,0.1719,-0.9688,0.0,0.0,0.0,0.984,0.0
0.0,0.1562,-0.9531,0.0,0.0,0.0,0.9658,0.0
0.0,0.1562,-0.9688,0.0,0.0,0.0,0.9813,0.0
0.0,0.1562,-0.9531,0.0,0.0,0.0,0.9658,0.0
0.0,0.1562,-0.9375,0.0,0.0,0.0,0.9504,0.0
-0.0156,0.1406,-0.9688,0.0,0.0,0.0,0.979,0.0
-0.0156,0.1562,-0.9688,0.0,0.0,0.0,0.9814,0.0
0.0,0.1562,-0.9688,0.0,0.0,0.0,0.9813,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0156,0.1562,-0.9688,0.0,0.0,0.0,0.9814,0.0
-0.0312,0.1562,-0.9688,0.0,0.0,0.0,0.9818,0.0
-0.0156,0.1562,-0.9688,0.0,0.0,0.0,0.9814,0.0
-0.0156,0.1562,-0.9688,0.0,0.0,0.0,0.9814,0.0
0.0,0.1562,-0.9688,0.0,0.0,0.0,0.9813,0.0
0.0,0.1562,-0.9531,0.0,0.0,0.0,0.9658,0.0
0.0,0.1406,-0.9688,0.0,0.0,0.0,0.9789,0.0
0.0,0.1406,-0.9688,0.0,0.0,0.0,0.9789,0.0
0.0,0.1406,-0.9531,0.0,0.0,0.0,0.9634,0.0
0.0,0.1406,-0.9531,0.0,0.0,0.0,0.9634,0.0
0.0,0.1406,-0.9375,0.0,-0.9766,0.0,0.948,0.9766
-0.0312,0.1406,-0.9531,0.9766,-0.9766,0.0,0.9639,1.3811
-0.0312,0.1406,-0.9844,0.9766,-0.9766,0.0,0.9949,1.3811
-0.0312,0.1562,-0.9844,0.0,0.0,0.0,0.9972,0.0
-0.0312,0.1562,-0.9688,0.0,0.0,0.0,0.9818,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0156,0.1406,-0.9531,0.0,0.0,0.0,0.9636,0.0
-0.0156,0.1406,-0.9531,0.0,0.0,0.0,0.9636,0.0
-0.0156,0.125,-0.9688,0.0,0.0,0.0,0.9769,0.0
-0.0312,0.1406,-0.9844,0.0,0.0,0.0,0.9949,0.0
-0.0312,0.1406,-0.9688,0.0,0.0,0.0,0.9794,0.0
-0.0156,0.1562,-0.9375,0.0,0.0,0.0,0.9506,0.0
-0.0156,0.1562,-0.9375,0.0,0.0,0.0,0.9506,0.0
-0.0312,0.1562,-0.9688,0.0,0.0,0.0,0.9818,0.0
-0.0312,0.1562,-0.9688,0.0,0.0,0.0,0.9818,0.0
-0.0469,0.1406,-0.9688,0.0,0.0,0.0,0.98,0.0
-0.0312,0.1406,-0.9688,0.0,0.0,0.0,0.9794,0.0
-0.0312,0.1406,-0.9531,0.0,0.0,0.0,0.9639,0.0
-0.0312,0.1406,-0.9531,0.0,0.0,0.0,0.9639,0.0
-0.0312,0.1406,-0.9375,0.0,0.0,0.0,0.9485,0.0
-0.0312,0.1406,-0.9531,0.0,0.0,0.0,0.9639,0.0
-0.0156,0.1406,-0.9688,0.0,0.0,0.0,0.979,0.0
-0.0156,0.1406,-0.9688,0.0,0.0,0.0,0.979,0.0
-0.0156,0.1406,-0.9688,0.0,0.0,0.0,0.979,0.0
-0.0156,0.1406,-0.9531,0.0,0.0,0.0,0.9636,0.0
-0.0156,0.1406,-0.9531,0.0,0.0,0.0,0.9636,0.0
-0.0156,0.1406,-0.9531,0.0,0.0,0.0,0.9636,0.0
-0.0156,0.1562,-0.9531,0.0,0.0,0.0,0.966,0.0
-0.0312,0.1406,-0.9531,0.0,0.0,0.0,0.9639,0.0
-0.0312,0.1562,-0.9531,0.0,0.0,0.0,0.9664,0.0
-0.0312,0.1406,-0.9688,0.0,0.0,0.0,0.9794,0.0
-0.0312,0.1406,-0.9688,0.0,0.0,0.0,0.9794,0.0
-0.0312,0.1406,-0.9531,0.0,0.0,0.0,0.9639,0.0
-0.0312,0.1406,-0.9688,0.0,0.0,0.0,0.9794,0.0
-0.0312,0.1406,-0.9688,0.0,0.0,0.0,0.9794,0.0
-0.0312,0.1406,-0.9688,0.0,0.0,0.0,0.9794,0.0
-0.0156,0.1406,-0.9688,0.0,0.0,0.0,0.979,0.0
-0.0312,0.1406,-0.9688,0.0,0.0,0.0,0.9794,0.0
-0.0156,0.1406,-0.9531,0.0,0.0,0.0,0.9636,0.0
-0.0312,0.1406,-0.9688,0.0,0.0,0.0,0.9794,0.0
-0.0312,0.1406,-0.9531,0.0,0.0,0.0,0.9639,0.0
-0.0156,0.1406,-0.9531,0.0,0.0,0.0,0.9636,0.0
-0.0156,0.1406,-0.9688,0.0,0.0,0.0,0.979,0.0
-0.0156,0.1406,-0.9688,0.0,0.0,0.0,0.979,0.0
