ax_s,ay_s,az_s,gx_s,gy_s,gz_s
-0.2031,0.9688,0.0469,0,0,0
-0.2031,0.9844,0.0469,0,0,0
-0.2344,0.9688,0.0312,0,0,0
-0.2344,0.9688,0.0312,0,-0.9766,0
-0.2344,0.9844,0.0312,0,-0.9766,0
-0.2188,0.9688,0.0156,0,-0.9766,0
-0.2344,0.9688,0,0,0,0
-0.2344,0.9844,0,0,0,0
-0.2188,1,0.0312,0,-0.9766,0
-0.2188,0.9844,0.0312,0,-0.9766,0
-0.2344,0.9844,0.0156,0,-1.9531,0
-0.2344,0.9688,0.0156,0,-1.9531,0
-0.2344,0.9844,0.0156,0,-0.9766,0
-0.2344,0.9688,0.0156,0,-0.9766,0
-0.2344,0.9844,0.0156,0.9766,-0.9766,0
-0.2344,0.9688,0.0469,0.9766,-1.9531,0
-0.2344,0.9844,0.0312,0,-0.9766,0
-0.9219,0.2812,-0.2031,-0.9766,0,0.9766
-0.9062,0.2969,-0.1875,-0.9766,0,0.9766
-0.9062,0.3281,-0.1875,0,-0.9766,0.9766
-0.9062,0.3281,-0.2031,0,-1.9531,0.9766
-0.9219,0.2969,-0.2031,0,-2.9297,0.9766
-0.9219,0.2812,-0.1875,0,-2.9297,0.9766
-0.9219,0.2812,-0.1719,0,-2.9297,0
-0.9375,0.2812,-0.1719,0,-3.9062,0
-0.9219,0.2969,-0.1719,-0.9766,-3.9062,0.9766
-0.9219,0.3125,-0.1719,-0.9766,-3.9062,0.9766
-0.9219,0.3281,-0.1562,-0.9766,-3.9062,0
-0.9219,0.3438,-0.125,-0.9766,-3.9062,0
-0.9375,0.3438,-0.1406,-0.9766,-2.9297,0.9766
-0.9531,0.3438,-0.1094,-0.9766,-2.9297,0.9766
-0.9219,0.375,-0.0781,-0.9766,-2.9297,0.9766
-0.9062,0.375,-0.0781,0,-2.9297,0.9766
-0.8906,0.3594,-0.0781,0,-1.9531,0
-0.9062,0.3438,-0.0781,0,-1.9531,0
-0.9062,0.3438,-0.0781,0,-1.9531,0.9766
-0.9062,0.3594,-0.0781,0,-0.9766,0
-0.8906,0.3438,-0.0938,0,-0.9766,0
-0.9062,0.3438,-0.0781,0,-0.9766,0
-0.9219,0.3125,-0.0469,0,-1.9531,0
-0.8906,0.3125,-0.0156,-0.9766,-2.9297,0
-0.7812,0.3438,0.0312,-1.9531,-3.9062,0
-0.7812,0.4219,0.0469,0,-7.8125,0
-0.9219,0.5156,0.0469,0,-10.7422,0
-0.9531,0.4844,-0.0312,0,-9.7656,0
-0.9375,0.4219,-0.0312,0,-7.8125,0
-0.9375,0.4062,0,0,-5.8594,0
-0.9219,0.375,0.0156,2.9297,-4.8828,0
-0.9062,0.3281,0.0156,3.9062,-4.8828,0
-0.9062,0.2656,0.0312,4.8828,-2.9297,0
-0.9219,0.2188,0.0156,2.9297,-2.9297,0
-0.9219,0.1875,0.0469,0.9766,-1.9531,0
-0.9062,0.2188,0.0469,-1.9531,-1.9531,0
-0.9375,0.2656,0.0469,-1.9531,-1.9531,-0.9766
-0.9531,0.3438,0.1094,-2.9297,-2.9297,-0.9766
-0.9219,0.4062,0.0781,-2.9297,-1.9531,-0.9766
-0.875,0.4375,0.0312,-1.9531,-0.9766,0
-0.8906,0.4062,0.0469,-0.9766,-0.9766,0
-0.9219,0.4219,0.0625,-1.9531,-0.9766,0.9766
-0.9062,0.375,0.0625,-2.9297,0,0.9766
-0.9219,0.2969,0.1094,-2.9297,-0.9766,0.9766
-0.9219,0.2656,0.1406,-3.9062,-0.9766,0
-0.9531,0.2656,0.1562,-3.9062,-0.9766,0
