ax_s,ay_s,az_s,gx_s,gy_s,gz_s
0,0.0312,-0.9844,0,0,0
0,0.0469,-0.9688,0,0,0
0,0.0312,-0.9688,0,0,0
0,0.0312,-0.9844,0,0,0
0,0.0312,-0.9688,0,0,0
-0.0156,0.0312,-0.9531,0,0,0
0,0.0312,-0.9688,0,0,0
0,0.0312,-0.9688,0,0,0
-0.0156,0.0312,-0.9688,0,0,0
0,0.0312,-0.9688,0,0,0
0,0.0312,-0.9688,0,0,0
0,0.0469,-0.9688,0,0,0
0,0.0312,-0.9688,0,0,0
0,0.0312,-0.9688,0,0,0
0,0.0312,-0.9844,0,0,0
0,0.0469,-0.9688,0,0,0
0,0.0469,-0.9688,0,0,0
-0.2188,0.9844,0.0781,0.9766,-3.9062,0
-0.2188,0.9844,0.0781,1.9531,-4.8828,0
-0.2188,1.0156,0.0781,1.9531,-5.8594,0
-0.2188,1.0156,0.0625,2.9297,-5.8594,0
-0.2188,1,0.0625,2.9297,-5.8594,0
-0.2188,0.9844,0.0781,2.9297,-6.8359,0
-0.2344,0.9531,0.0938,2.9297,-7.8125,0
-0.2344,0.9531,0.1094,2.9297,-8.7891,0
-0.25,0.9375,0.0938,1.9531,-7.8125,0
-0.25,0.9375,0.0938,1.9531,-6.8359,0
-0.25,0.9219,0.1094,0.9766,-5.8594,0
-0.2344,0.9375,0.0938,0,-4.8828,-0.9766
-0.2344,0.9531,0.0938,0,-3.9062,-0.9766
-0.2344,0.9688,0.1094,0,-3.9062,-0.9766
-0.2188,0.9844,0.1094,0,-3.9062,-0.9766
-0.2031,0.9844,0.1094,0,-4.8828,-0.9766
-0.2188,1,0.0938,0,-4.8828,-0.9766
-0.2188,1,0.0625,0,-4.8828,0
-0.2344,0.9844,0.0469,0.9766,-4.8828,0
-0.25,0.9844,0.0469,0.9766,-3.9062,0
-0.2656,0.9688,0.0625,0.9766,-2.9297,0
-0.2656,0.9531,0.0469,0.9766,-1.9531,0
-0.2812,0.9375,0.0469,0,-0.9766,0
-0.25,0.9688,0.0312,0,0,0
-0.2656,0.9531,0.0469,0,0,0
-0.25,0.9688,0.0625,0,0,0
-0.2188,0.9844,0.0781,0,0,0
-0.2344,0.9688,0.0781,0,0,0
-0.2188,0.9688,0.0781,0,0,0
-0.2188,0.9844,0.0938,0,0,0
-0.1875,1,0.0938,0,0,0
-0.1875,0.9531,0.0781,0,-0.9766,0
-0.2344,0.9688,0.0938,0,-0.9766,0
-0.2344,0.9844,0.1094,0,-0.9766,0
-0.2188,0.9844,0.125,0,-0.9766,0
-0.25,0.9844,0.1094,0,-0.9766,0
-0.25,0.9688,0.0938,0,0,0
-0.25,0.9688,0.0781,0,0,0
-0.2344,0.9688,0.0781,0,0,0
-0.2344,0.9688,0.0625,0,0,0
-0.25,0.9688,0.0781,0,0,0
-0.25,0.9688,0.0938,0,0,0
-0.25,0.9688,0.0781,0,0,0
-0.2344,0.9844,0.0781,0,0,0
-0.2344,0.9844,0.0781,0,0,0
-0.2344,0.9844,0.0781,0,0,0
-0.2344,0.9844,0.0938,0,0,0
-0.2344,0.9688,0.0938,0,0,0
-0.2344,0.9688,0.0938,0,0,0
-0.25,0.9688,0.0938,0,0,0
-0.25,0.9688,0.0938,0,0,0
-0.25,0.9688,0.0938,0,0,0
-0.2344,0.9844,0.0938,0,0,0
-0.2188,0.9844,0.0938,0,0,0
-0.2344,0.9688,0.1094,0,0,0
-0.2344,0.9688,0.1094,0,0,0
-0.2344,0.9688,0.1094,0,0,0
-0.2344,0.9688,0.0938,0,0,0
-0.2344,0.9531,0.0938,0,0,0
-0.2344,0.9688,0.0781,0,0,0
