ax_s,ay_s,az_s,gx_s,gy_s,gz_s
-1.1562,0.5781,-0.2969,4.8828,-2.9297,0
-0.8438,0.5,-0.125,0,1.9531,0.9766
-0.7656,0.3906,-0.0312,-3.9062,-0.9766,2.9297
-0.7344,0.2969,0.0938,-7.8125,-6.8359,6.8359
-0.9219,0.2656,0.3281,-9.7656,-7.8125,10.7422
-0.9531,0.2969,0.2344,-7.8125,-5.8594,8.7891
-0.875,0.3438,0.0156,-4.8828,-5.8594,4.8828
-0.9375,0.1562,0,-4.8828,-7.8125,2.9297
-1.0312,0.0781,0.0938,-6.8359,-11.7188,0.9766
-0.9531,0.2188,0.1094,-10.7422,-9.7656,0
-0.8594,0.2969,0.1094,-13.6719,-5.8594,0
-0.8125,0.2969,0.0938,-14.6484,-4.8828,0
-1,0.3906,0.0625,-13.6719,-6.8359,-0.9766
-1.0625,0.4688,0.0156,-6.8359,-5.8594,-0.9766
-0.9219,0.4844,0.0156,-0.9766,-4.8828,0
-0.7969,0.3125,0.0938,-0.9766,-3.9062,0
-0.8438,0.2656,0.1562,-1.9531,-6.8359,0
-0.9375,0.1875,0.2031,-4.8828,-7.8125,0
-0.9844,0.1719,0.1719,-6.8359,-6.8359,0
-0.9688,0.2812,0.1094,-2.9297,-7.8125,-1.9531
-0.9219,0.3594,0.0938,-0.9766,-7.8125,-1.9531
-0.8906,0.4062,0.0938,-0.9766,-7.8125,-1.9531
-0.875,0.4531,0.1562,0,-6.8359,-0.9766
-0.8594,0.4062,0.2188,1.9531,-5.8594,0
-0.8594,0.2969,0.2344,4.8828,-5.8594,0
-0.9062,0.2188,0.2656,8.7891,-8.7891,0
-0.9531,0.2188,0.2188,7.8125,-9.7656,0
-0.9688,0.25,0.1875,4.8828,-7.8125,0
-0.9688,0.25,0.1719,2.9297,-5.8594,0.9766
-0.9844,0.2344,0.2344,0,-4.8828,1.9531
-0.9844,0.2031,0.25,-1.9531,-5.8594,2.9297
-0.9844,0.1875,0.25,-0.9766,-6.8359,1.9531
-0.9844,0.2344,0.2031,0,-5.8594,1.9531
-0.9688,0.2812,0.1406,0.9766,-4.8828,1.9531
-0.9688,0.2969,0.1719,0.9766,-3.9062,1.9531
-0.9844,0.3125,0.1719,0,-3.9062,1.9531
-1,0.2656,0.1562,0,-2.9297,2.9297
-1.0469,0.2031,0.125,0.9766,-0.9766,3.9062
-1.0938,0.1562,0.125,1.9531,0.9766,3.9062
-1.1406,0.1719,0.125,0,4.8828,2.9297
-1.0938,0.2656,0.1094,-0.9766,9.7656,0.9766
-1,0.4219,0.0469,0,13.6719,0
-0.875,0.4688,0.0312,1.9531,17.5781,0
-0.8438,0.5156,0.0156,4.8828,23.4375,0
-0.8594,0.5,-0.0156,11.7188,30.2734,0.9766
-0.9062,0.5625,0.0469,23.4375,28.3203,-0.9766
-1,0.625,0.1875,30.2734,17.5781,-6.8359
-1,0.6406,0.2031,40.0391,11.7188,-10.7422
-1.0156,0.4219,0.25,34.1797,4.8828,-10.7422
-1.0312,0.2812,0.0156,26.3672,5.8594,-8.7891
-0.9531,0.0781,-0.125,20.5078,6.8359,-10.7422
-1.0469,-0.0312,-0.1094,6.8359,6.8359,-12.6953
-0.9062,0.1875,0.0312,0,10.7422,-11.7188
-0.8906,0.3594,0.0156,-5.8594,15.625,-11.7188
-0.8281,0.3594,0,-7.8125,15.625,-9.7656
-0.8281,0.3281,-0.0312,-9.7656,11.7188,-7.8125
-0.7969,0.2656,-0.125,-8.7891,9.7656,-6.8359
-0.7969,0.2188,-0.1406,-8.7891,7.8125,-6.8359
-0.7812,0.2344,-0.1562,-5.8594,4.8828,-6.8359
-0.7031,0.2344,-0.125,-4.8828,4.8828,-4.8828
-0.7031,0.1875,-0.125,-3.9062,2.9297,-2.9297
-0.8125,0.0781,-0.125,-5.8594,0,-0.9766
-0.8281,0,-0.2031,-10.7422,0,-0.9766
-0.8281,0,-0.2969,-13.6719,-0.9766,0
-0.9531,0,-0.3438,-18.5547,-1.9531,1.9531
-1.0938,0,-0.4219,-22.4609,0,0.9766
-1.1406,0.0625,-0.4844,-22.4609,1.9531,-0.9766
-1.0625,0.1875,-0.3906,-17.5781,0,-3.9062
-0.9375,0.1875,-0.3438,-17.5781,0,-4.8828
-0.8594,0.2812,-0.3125,-17.5781,2.9297,-1.9531
-1.1094,0.3281,-0.2969,-19.5312,4.8828,0.9766
-1.4375,0.3594,0.0312,-9.7656,-6.8359,0
-0.8438,0.4844,-0.0312,-9.7656,-0.9766,-2.9297
-0.625,0.6406,-0.25,-16.6016,0.9766,0
-0.5938,0.5156,0,-14.6484,-6.8359,7.8125
-0.8594,0.3281,0.3281,-8.7891,-10.7422,10.7422
-1.1406,0.2656,0.25,-8.7891,-7.8125,10.7422
-1.0938,0.0938,0.0469,-14.6484,-1.9531,10.7422
-1.0156,-0.0312,0.1562,-19.5312,-0.9766,6.8359
-0.9531,0.0156,0.1719,-27.3438,-2.9297,4.8828
-0.8906,0.3281,0.0312,-34.1797,-0.9766,2.9297
-0.8594,0.3906,0.0781,-30.2734,0.9766,1.9531
-0.8438,0.4219,0.125,-24.4141,-3.9062,0
-0.8906,0.4375,0.0469,-22.4609,-5.8594,0
-0.8906,0.3594,0.0625,-17.5781,-7.8125,0
-0.8438,0.3281,0.1094,-12.6953,-11.7188,0
-0.8594,0.2812,0.1094,-14.6484,-11.7188,0.9766
-0.9531,0.2031,0.1406,-15.625,-9.7656,1.9531
-1.0156,0.2031,0.1719,-13.6719,-8.7891,0.9766
-0.9219,0.2656,0.1562,-12.6953,-8.7891,0
-0.875,0.3281,0.1562,-9.7656,-9.7656,0
-0.8906,0.2969,0.1719,-10.7422,-8.7891,0.9766
-0.875,0.3281,0.2188,-11.7188,-6.8359,1.9531
-0.9375,0.375,0.2344,-7.8125,-6.8359,1.9531
-1,0.4219,0.2656,-6.8359,-8.7891,2.9297
-0.9844,0.3281,0.1094,-1.9531,-6.8359,3.9062
-1.0156,0.1562,0.0312,-0.9766,-2.9297,4.8828
-1.0312,0.1719,0.0781,-0.9766,0.9766,4.8828
-1.0156,0.2969,0.1719,0,2.9297,4.8828
-1.0156,0.2656,0.2969,-0.9766,1.9531,5.8594
-1.0625,0.1719,0.25,-8.7891,1.9531,6.8359
-1.2188,0.125,0.1406,-12.6953,3.9062,7.8125
-1.3125,0.1875,0.0156,-11.7188,8.7891,6.8359
-1.25,0.2188,-0.0469,-7.8125,14.6484,5.8594
-1.125,0.1875,-0.0469,-7.8125,23.4375,5.8594
-0.875,0.2344,0.0625,-7.8125,31.25,7.8125
-0.7344,0.3281,0.1562,-11.7188,41.0156,7.8125
-0.8125,0.4062,0.1719,-18.5547,43.9453,5.8594
-0.9688,0.3594,0.25,-6.8359,39.0625,0.9766
-1.0469,0.3438,0.3594,2.9297,30.2734,-3.9062
