ax_s,ay_s,az_s,gx_s,gy_s,gz_s
-0.9844,0.0469,-0.0156,-11.7188,25.3906,19.5312
-0.75,-0.25,-0.1094,0.9766,23.4375,0
-1.0781,0.0469,-0.2812,-20.5078,27.3438,0
-1.1719,-0.0781,-0.1094,-13.6719,14.6484,0
-1.1094,-0.0938,-0.1094,-2.9297,8.7891,2.9297
-1.0469,0.0156,-0.2812,-1.9531,8.7891,3.9062
-0.8594,0.0312,-0.2031,1.9531,-2.9297,4.8828
-0.9375,-0.0625,-0.2188,1.9531,0,0
-1.0469,0.0156,-0.1719,-4.8828,5.8594,-2.9297
-0.8594,0.0156,-0.2031,-18.5547,11.7188,3.9062
-1,0,-0.1562,-11.7188,14.6484,-1.9531
-0.9531,0,-0.2344,-5.8594,11.7188,-1.9531
-1.0156,0,-0.25,-7.8125,9.7656,-1.9531
-1.0312,0.0156,-0.25,-8.7891,9.7656,-0.9766
-1,0.0469,-0.2656,-9.7656,11.7188,-0.9766
-0.9688,0.0312,-0.2344,-8.7891,6.8359,0
-0.1562,-0.9531,-0.0938,-0.9766,5.8594,3.9062
-0.1094,-0.9531,-0.0938,-1.9531,10.7422,2.9297
-0.0469,-0.9531,-0.0781,-3.9062,13.6719,1.9531
-0.0938,-0.9688,-0.1562,-5.8594,12.6953,1.9531
-0.125,-0.9219,-0.1406,-8.7891,12.6953,1.9531
-0.1406,-0.8906,-0.1875,-9.7656,14.6484,0.9766
-0.1719,-0.875,-0.1719,-8.7891,16.6016,0
-0.1875,-0.8438,-0.1562,-6.8359,16.6016,0
-0.1875,-0.9688,-0.2656,-7.8125,16.6016,-0.9766
-0.125,-1.1562,-0.3125,-10.7422,14.6484,-0.9766
-0.0781,-1.1719,-0.1875,-1.9531,5.8594,-2.9297
0.1094,-0.9219,-0.2188,2.9297,11.7188,-7.8125
0.1719,-0.7656,0.2031,8.7891,16.6016,-10.7422
0,-0.875,0.3281,18.5547,9.7656,-8.7891
-0.0781,-1.0156,0.2344,20.5078,2.9297,-6.8359
0,-1.0312,0.2656,21.4844,4.8828,-4.8828
0.1719,-0.9062,0.3125,14.6484,14.6484,-6.8359
0.2344,-0.875,0.3281,12.6953,19.5312,-7.8125
0.4219,-0.8906,0.3281,11.7188,15.625,-8.7891
0.4531,-0.9375,0.25,14.6484,12.6953,-8.7891
0.1719,-0.9062,0.1562,14.6484,18.5547,-9.7656
0.125,-0.9062,0.125,8.7891,21.4844,-7.8125
0.2969,-0.9219,0.1094,6.8359,22.4609,-6.8359
0.3906,-0.9375,0.1406,5.8594,23.4375,-5.8594
0.3438,-0.9844,0.2031,2.9297,23.4375,-7.8125
0.2969,-0.9688,0.2344,1.9531,21.4844,-8.7891
0.1875,-0.9062,0.2188,4.8828,20.5078,-9.7656
0.1562,-0.9531,0.2188,6.8359,21.4844,-9.7656
0.1719,-0.9844,0.2656,8.7891,23.4375,-8.7891
0.1875,-0.9688,0.1719,9.7656,26.3672,-5.8594
0.2812,-0.9844,0.0312,7.8125,25.3906,-2.9297
0.3281,-1,-0.0625,3.9062,27.3438,-1.9531
0.2656,-1.0312,0.0781,0.9766,19.5312,-1.9531
0.25,-1.0156,0.125,1.9531,15.625,0
0.3594,-1.0312,0.0312,0,14.6484,0
0.4844,-0.9844,0,0,10.7422,1.9531
0.5156,-1.1094,-0.0156,0,5.8594,0
0.5625,-1.2969,0,-5.8594,1.9531,0
0.3281,-1.1875,-0.0469,-12.6953,-0.9766,-4.8828
0.0625,-1.1875,-0.0312,-21.4844,0,-3.9062
0,-1.1875,0.0469,-32.2266,-8.7891,0
0.0156,-1.1875,-0.0781,-48.8281,-6.8359,3.9062
0.1406,-1.0938,0.6406,-44.9219,-11.7188,0
0.0469,-1.1719,0.8281,-26.3672,-3.9062,-4.8828
0,-1.2656,0.6562,-27.3438,37.1094,-8.7891
-0.125,-1.2031,-0.5625,-33.2031,40.0391,-8.7891
0.0781,-0.9531,-0.1406,-33.2031,20.5078,-9.7656
0.4531,-0.7344,0.25,-22.4609,8.7891,-6.8359
0.1562,-0.75,0.3438,-15.625,6.8359,-13.6719
0.0156,-0.6719,0.25,-17.5781,-5.8594,-9.7656
-0.0156,-0.5469,0.1875,-13.6719,0.9766,-7.8125
